서식코드,서식명,대분류,구분,업데이트일
99530,증권관련집단소송관련소취하등허가신청,수시공시,거래소,20250918
99531,증권관련집단소송관련소취하등허가신청에대한결정,수시공시,거래소,20250918
99532,증권관련 집단소송의 판결ㆍ결정에 대한 항고 등 불복신청,수시공시,거래소,20250918
99533,부동산투자회사 부동산 임차,수시공시,거래소,20250918
99563,출자상호저축은행 자기자본비율 감소(자율공시),수시공시,거래소,20250918
99564,출자상호저축은행 분기재무제표 확정(자율공시),수시공시,거래소,20250918
99581,조회공시 요구(현저한 시황변동)에 대한 답변(미확정),수시공시,거래소,20250918
99582,조회공시 요구(현저한 시황변동)에 대한 답변(중요 공시대상 없음),수시공시,거래소,20250918
99583,조회공시 요구(풍문 또는 보도)에 대한 답변(미확정),수시공시,거래소,20250918
99584,조회공시 요구(풍문 또는 보도)에 대한 답변(부인),수시공시,거래소,20250918
99618,장래사업ㆍ경영 계획(공정공시),공정공시,거래소,20250918
99619,영업실적 등에 대한 전망(공정공시),공정공시,거래소,20250918
99620,영업(잠정)실적(공정공시),공정공시,거래소,20250918
99621,수시공시의무관련사항(공정공시),공정공시,거래소,20250918
99626,연결재무제표기준영업(잠정)실적(공정공시),공정공시,거래소,20250918
99627,연결재무제표 기준 영업실적 등에 대한 전망(공정공시),공정공시,거래소,20250918
99655,유상증자 신주발행가액(안내공시),수시공시,거래소,20250918
99660,종류주식의 보통주식으로 전환결의(안내공시),수시공시,거래소,20250918
99661,금융채권자협의회 소집(안내공시),수시공시,거래소,20250918
99663,기타 안내사항(안내공시),수시공시,거래소,20250918
99664,기업설명회(IR) 개최(안내공시),수시공시,거래소,20250918
99665,대표이사(대표집행임원) 변경(안내공시),수시공시,거래소,20250918
99666,계열회사변경(자율공시),수시공시,거래소,20250918
99667,기업지배구조 보고서 공시,수시공시,거래소,20250918
99669,기업지배구조 보고서 공시(연차보고서),수시공시,거래소,20250918
99752,공정거래 자율준수프로그램 운영현황(안내공시),수시공시,거래소,20250918
99833,결산실적공시 예고(안내공시),수시공시,거래소,20250918
99835,부도발생(거래소공시),수시공시,거래소,20250918
99836,당좌거래 정지ㆍ금지(거래소공시),수시공시,거래소,20250918
99838,상장폐지법인의 주요경영사항(안내공시),수시공시,거래소,20250918
99840,확인절차 면제법인 : 정정공시 요구,수시공시,거래소,20250918
99949,선박투자회사 사채발행,수시공시,거래소,20250918
